,symbol,ltp,percent_change,open,high,low,quantity
66,GIBF1,10.72,-1.29,10.8,10.66,10.66,23700
67,GILB,1165.0,-2.39,1193.5,1155.3,1190.0,394
68,GLBSL,2019.6,-0.51,2030.1,1951.2,2030.1,1443
69,GLH,259.2,-2.56,268.5,259.2,265.0,50162
70,GMFBS,1479.9,-0.81,1495.0,1467.0,1495.0,1823
71,GMFIL,470.0,-2.06,487.0,470.0,487.0,8978
72,GMLI,1780.0,-0.67,1800.0,1760.0,1760.0,2840
73,GRDBL,1163.9,-1.72,1190.0,1149.1,1184.0,32445
74,GSY,9.59,0.95,9.59,9.32,9.32,24370
75,GUFL,567.5,-2.49,589.5,567.5,589.4,23751
76,GVL,496.0,-0.4,503.0,490.3,499.0,79175
77,H8020,11.57,-0.26,11.8,11.57,11.8,20441
78,HATHY,914.0,-0.65,924.9,902.1,902.1,9530
79,HBL,189.0,0.11,190.0,187.0,187.0,44736
80,HDHPC,197.0,-3.57,209.4,196.0,204.3,566265
81,HDL,1139.0,-0.78,1154.0,1135.2,1148.0,81053
82,HEI,511.0,-0.39,515.0,502.0,513.0,8760
83,HEIP,304.5,-2.0,312.1,304.5,312.1,3000
84,HHL,338.0,1.5,344.6,330.0,339.0,84344
85,HIDCL,261.9,-0.38,266.3,260.2,263.1,139891
86,HIDCLP,189.0,-1.56,193.8,188.2,191.2,189406
87,HIMSTAR,1068.0,-0.95,1143.0,1041.0,1056.7,32280
88,HLBSL,923.9,0.64,923.9,905.0,905.0,2111
89,HLI,365.1,-0.52,369.8,365.0,368.0,38681
90,HLICF,10.28,9.95,10.28,9.17,9.17,104600
91,HPPL,472.0,0.38,477.0,471.0,472.1,81527
92,HRL,846.0,-0.02,863.1,845.0,863.1,156814
93,HURJA,244.7,-4.04,260.1,244.7,260.1,145944
94,ICFC,655.0,-0.76,672.0,653.0,671.0,16290
95,ICFCD88,1120.0,-0.44,1125.0,1120.0,1125.0,50
96,IGI,429.0,-0.23,435.0,426.7,435.0,6909
97,IHL,558.8,0.4,564.8,545.5,545.5,9506
98,ILBS,992.8,1.83,994.0,976.0,976.0,836
99,ILI,441.0,-0.27,445.0,440.6,442.2,13390
100,JBBD87,1113.0,0.72,1113.0,1113.0,1113.0,50
101,JBBL,333.6,-1.18,344.3,333.0,344.3,54476
102,JBLB,1310.0,-0.98,1340.0,1310.0,1335.0,6912
103,JFL,436.4,-0.82,448.0,425.0,448.0,17882
104,JHAPA,1465.0,-3.24,1544.2,1450.4,1520.0,9305
105,JOSHI,299.9,1.32,312.0,296.0,300.6,67472
106,JSLBB,1184.0,0.34,1184.0,1164.1,1179.5,777
107,KBL,185.0,-0.91,189.0,184.2,188.0,184817
108,KBSH,1698.0,1.8,1701.3,1655.0,1655.0,576
109,KDBY,10.19,0.1,10.19,10.06,10.18,143600
110,KDL,891.0,10.0,891.0,807.0,810.0,25025
111,KEF,9.69,0.94,9.69,9.41,9.41,4670
112,KKHC,230.0,-1.67,236.7,228.5,233.0,73834
113,KMCDB,945.0,0.43,953.9,925.0,953.7,4150
114,KPCL,540.0,-0.39,549.0,540.0,542.1,41676
115,KSBBL,456.5,-0.54,464.0,455.0,462.0,36798
116,KSY,9.49,-1.15,9.5,8.83,9.5,50800
117,LBBL,474.0,-2.47,490.0,474.0,490.0,96035
118,LEC,208.6,-1.88,216.8,207.0,216.8,228750
119,LICN,846.1,-0.34,855.0,846.1,855.0,10295
120,LSL,209.0,-1.55,213.2,208.6,210.5,40427
121,LUK,9.68,-0.72,9.79,9.6,9.6,1230
122,LVF2,9.5,0.0,9.69,9.43,9.69,2300
123,MABEL,819.0,-3.08,860.0,815.0,859.1,27151
124,MAKAR,555.0,-0.89,569.0,539.9,569.0,25498
125,MANDU,817.9,0.96,840.0,810.1,810.1,3515
126,MATRI,977.9,-0.01,980.0,970.0,978.0,1123
127,MBJC,284.7,-1.15,289.0,282.1,288.0,46568
128,MBL,226.9,-0.92,230.0,224.5,230.0,65718
129,MBLEF,10.02,-0.3,10.2,9.99,10.01,92700
130,MCHL,432.0,0.21,439.0,426.9,431.0,6369
131,MDB,640.0,-1.54,656.0,635.0,645.6,27814
132,MEHL,444.8,-0.27,451.8,440.1,440.2,16834
133,MEL,278.9,-0.36,282.0,272.0,274.6,22412
134,MEN,582.0,-0.51,589.9,581.5,585.0,28332
135,MERO,741.0,-0.27,757.0,740.0,757.0,8282
136,MFIL,782.1,-1.0,799.0,774.2,774.2,180814
